Division,reconomy_company,company_name,greater_than_3yrs,customer_signup_year,customer_duration,customer_signup_date,recycle,compliance,reuse,WEEE,batteries,packaging,international_compliance,aggregate_supply,analysis,material_trading,waste_collection,clearance,equipment/rental
Compliance,Valpak,bakelite synthetics uk ltd,,,,3/9/2021 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,baker & baker products uk ltd,,,,,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,baker & taylor (uk) ltd,,,,,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,baker hughes energy technology uk ltd,,,,3/22/2005 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,baker hughes ltd,,,,8/27/1997 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,baker perkins ltd,,,,3/20/2008 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,baker ross ltd,,,,4/2/2012 0:00,0,1,0,1,1,1,1,,,,,,
Compliance,Valpak,bakers basco ltd,,,,5/18/2012 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,bakkafrost scotland ltd,,,,8/28/1997 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,bako group ltd,,,,3/20/2020 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,balco brands ltd,,,,12/2/2020 0:00,0,1,0,0,1,0,1,,,,,,
Compliance,Valpak,balenciaga uk ltd,,,,11/19/2021 0:00,0,1,0,0,0,1,0,,,,,,
Compliance,Valpak,balfour beatty ground engineering ltd,,,,1/1/2014 0:00,0,1,0,0,0,1,0,,,,,,
